"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"Dnajc10",2382,32,49,30,14,4,0,13.43,20.57,12.59,5.88,1.68,0
"Dnajc14",2112,18,45,31,7,2,2,8.52,21.31,14.68,3.31,0.95,0.95
"Dnajc18",1074,11,15,30,18,4,0,10.24,13.97,27.93,16.76,3.72,0
"Dnajc27",822,7,14,17,10,1,1,8.52,17.03,20.68,12.17,1.22,1.22
"Dnajc6",2907,28,54,50,24,3,4,9.63,18.58,17.2,8.26,1.03,1.38
"Dnmt1",4863,49,82,87,43,2,1,10.08,16.86,17.89,8.84,0.41,0.21
"Dock10",6564,58,99,115,49,5,3,8.84,15.08,17.52,7.46,0.76,0.46
"Dock3",6093,55,98,78,36,3,1,9.03,16.08,12.8,5.91,0.49,0.16
"Dock4",5937,51,102,88,45,5,4,8.59,17.18,14.82,7.58,0.84,0.67
"Dock9",6342,54,99,108,59,5,3,8.51,15.61,17.03,9.3,0.79,0.47
"Dohh",909,3,14,13,5,0,0,3.3,15.4,14.3,5.5,0,0
"Dopey2",6888,50,119,123,65,11,2,7.26,17.28,17.86,9.44,1.6,0.29
"Dpf1",1197,16,34,27,6,1,1,13.37,28.4,22.56,5.01,0.84,0.84
"Dph3",249,2,8,6,4,0,0,8.03,32.13,24.1,16.06,0,0
"Dpp6",2580,23,43,44,13,2,2,8.91,16.67,17.05,5.04,0.78,0.78
"Dpp8",2679,24,54,35,9,1,0,8.96,20.16,13.06,3.36,0.37,0
"Dpy19l1",2241,15,30,26,13,1,0,6.69,13.39,11.6,5.8,0.45,0
"Drap1",639,5,10,15,8,2,1,7.82,15.65,23.47,12.52,3.13,1.56
"Drd1",1341,14,20,23,9,1,0,10.44,14.91,17.15,6.71,0.75,0
"Drg1",1104,7,14,15,6,2,1,6.34,12.68,13.59,5.43,1.81,0.91
"Drosha",4122,33,74,76,34,7,2,8.01,17.95,18.44,8.25,1.7,0.49
"Drp2",2946,26,44,40,15,0,1,8.83,14.94,13.58,5.09,0,0.34
"Dscam",6042,39,89,101,49,6,5,6.45,14.73,16.72,8.11,0.99,0.83
"Dsel",3624,45,57,33,14,2,1,12.42,15.73,9.11,3.86,0.55,0.28
"Dstn",498,1,5,6,3,0,1,2.01,10.04,12.05,6.02,0,2.01
"Dstyk",2784,23,54,51,25,1,3,8.26,19.4,18.32,8.98,0.36,1.08
"Dtnb",1980,11,34,26,9,1,1,5.56,17.17,13.13,4.55,0.51,0.51
"Dtx1",1884,9,17,30,19,1,1,4.78,9.02,15.92,10.08,0.53,0.53
"Dtx3",1188,7,12,18,6,0,0,5.89,10.1,15.15,5.05,0,0
"Dusp3",633,4,5,7,4,0,0,6.32,7.9,11.06,6.32,0,0
"Dusp6",1146,12,14,28,10,0,0,10.47,12.22,24.43,8.73,0,0
"Dusp7",1269,12,10,22,14,1,1,9.46,7.88,17.34,11.03,0.79,0.79
"Dusp8",1992,14,26,35,17,1,1,7.03,13.05,17.57,8.53,0.5,0.5
"Dvl1",2088,17,27,47,20,3,1,8.14,12.93,22.51,9.58,1.44,0.48
"Dync1li1",1572,12,30,26,13,3,2,7.63,19.08,16.54,8.27,1.91,1.27
"Dynll1",270,4,5,5,3,1,0,14.81,18.52,18.52,11.11,3.7,0
"Dyrk1a",2292,24,34,42,21,3,1,10.47,14.83,18.32,9.16,1.31,0.44
"E130012A19Rik",1110,5,16,21,10,1,1,4.5,14.41,18.92,9.01,0.9,0.9
"Edem3",2844,15,46,42,25,0,1,5.27,16.17,14.77,8.79,0,0.35
"Edf1",447,1,7,14,7,1,0,2.24,15.66,31.32,15.66,2.24,0
"Edil3",1443,13,27,23,12,3,1,9.01,18.71,15.94,8.32,2.08,0.69
"Eef1a1",1389,10,21,24,14,3,0,7.2,15.12,17.28,10.08,2.16,0
"Eef1b2",678,1,13,12,9,1,1,1.47,19.17,17.7,13.27,1.47,1.47
"Eef1d",1983,12,43,36,18,4,1,6.05,21.68,18.15,9.08,2.02,0.5
"Eef1g",1314,12,21,14,6,0,1,9.13,15.98,10.65,4.57,0,0.76
"Eef2",2577,16,48,50,26,2,2,6.21,18.63,19.4,10.09,0.78,0.78
"Efhd2",723,3,15,13,10,0,2,4.15,20.75,17.98,13.83,0,2.77
"Efna3",693,5,5,4,1,0,1,7.22,7.22,5.77,1.44,0,1.44
"Efnb3",1023,4,13,15,5,0,1,3.91,12.71,14.66,4.89,0,0.98
"Eftud2",2919,18,55,61,36,4,2,6.17,18.84,20.9,12.33,1.37,0.69
"Egln1",1203,8,15,23,12,0,0,6.65,12.47,19.12,9.98,0,0
"Egln2",1260,9,14,16,8,1,0,7.14,11.11,12.7,6.35,0.79,0
"Ehbp1",3696,45,65,61,29,6,3,12.18,17.59,16.5,7.85,1.62,0.81
"Ehd3",1608,6,29,27,14,3,1,3.73,18.03,16.79,8.71,1.87,0.62
"Ehmt2",3792,24,78,60,29,4,2,6.33,20.57,15.82,7.65,1.05,0.53
"Eid1",480,2,13,9,3,0,1,4.17,27.08,18.75,6.25,0,2.08
"Eif1",342,3,4,5,1,0,0,8.77,11.7,14.62,2.92,0,0
"Eif1b",342,5,8,10,4,0,1,14.62,23.39,29.24,11.7,0,2.92
"Eif2ak1",1860,18,24,28,14,0,1,9.68,12.9,15.05,7.53,0,0.54
"Eif2b5",2154,23,45,34,18,0,3,10.68,20.89,15.78,8.36,0,1.39
"Eif2s3x",1419,16,22,23,10,5,1,11.28,15.5,16.21,7.05,3.52,0.7
"Eif3c",2736,27,60,42,16,1,4,9.87,21.93,15.35,5.85,0.37,1.46
"Eif3d",1647,11,39,43,23,4,2,6.68,23.68,26.11,13.96,2.43,1.21
"Eif3e",1338,10,13,17,6,0,0,7.47,9.72,12.71,4.48,0,0
"Eif3h",1059,13,18,12,5,1,1,12.28,17,11.33,4.72,0.94,0.94
"Eif3i",978,10,13,22,7,1,2,10.22,13.29,22.49,7.16,1.02,2.04
"Eif3k",657,8,11,16,5,1,0,12.18,16.74,24.35,7.61,1.52,0
"Eif3l",1695,10,20,31,15,2,0,5.9,11.8,18.29,8.85,1.18,0
"Eif3m",1125,11,18,15,6,2,0,9.78,16,13.33,5.33,1.78,0
"Eif4a1",1221,8,18,24,9,1,1,6.55,14.74,19.66,7.37,0.82,0.82
"Eif4a3",1236,5,20,30,18,0,2,4.05,16.18,24.27,14.56,0,1.62
"Eif4b",1836,13,49,51,21,4,5,7.08,26.69,27.78,11.44,2.18,2.72
"Eif4enif1",2952,20,58,46,18,0,2,6.78,19.65,15.58,6.1,0,0.68
"Eif4g1",4803,35,87,73,37,2,4,7.29,18.11,15.2,7.7,0.42,0.83
"Eif4g2",2721,32,57,38,21,1,1,11.76,20.95,13.97,7.72,0.37,0.37
"Eif5",1290,7,24,19,13,1,1,5.43,18.6,14.73,10.08,0.78,0.78
"Eif5a",465,6,10,10,4,1,0,12.9,21.51,21.51,8.6,2.15,0
"Eif6",738,7,10,13,6,1,0,9.49,13.55,17.62,8.13,1.36,0
"Elavl2",1170,11,17,21,9,1,1,9.4,14.53,17.95,7.69,0.85,0.85
"Elavl3",1104,6,9,22,12,2,0,5.43,8.15,19.93,10.87,1.81,0
"Elf2",1782,16,23,32,18,1,1,8.98,12.91,17.96,10.1,0.56,0.56
"Elfn2",2472,13,24,41,19,4,1,5.26,9.71,16.59,7.69,1.62,0.4
"Elmo1",2184,23,46,42,17,4,2,10.53,21.06,19.23,7.78,1.83,0.92
"Elmo2",2397,24,46,44,20,2,1,10.01,19.19,18.36,8.34,0.83,0.42
"Elmod1",981,9,13,11,6,0,0,9.17,13.25,11.21,6.12,0,0
"Elmod1.1",981,8,12,11,6,0,0,8.15,12.23,11.21,6.12,0,0
"Elovl5",900,6,11,12,7,1,0,6.67,12.22,13.33,7.78,1.11,0
"Elovl6",804,9,6,10,3,0,0,11.19,7.46,12.44,3.73,0,0
"Emc10",807,5,15,10,3,0,1,6.2,18.59,12.39,3.72,0,1.24
"Emc7",726,4,8,11,6,0,1,5.51,11.02,15.15,8.26,0,1.38
"Eml2",2526,21,42,54,29,2,2,8.31,16.63,21.38,11.48,0.79,0.79
"Enc1",1770,24,23,26,14,1,0,13.56,12.99,14.69,7.91,0.56,0
"Endod1",1506,9,16,24,11,2,1,5.98,10.62,15.94,7.3,1.33,0.66
"Eno1",1305,13,16,22,6,1,0,9.96,12.26,16.86,4.6,0.77,0
"Eno2",1305,14,28,25,9,2,0,10.73,21.46,19.16,6.9,1.53,0
"Enpp2",2745,23,50,56,22,4,1,8.38,18.21,20.4,8.01,1.46,0.36
"Enpp5",1434,8,13,16,7,0,1,5.58,9.07,11.16,4.88,0,0.7
"Ensa",366,2,10,10,2,1,0,5.46,27.32,27.32,5.46,2.73,0
"Entpd4",1842,16,26,41,18,3,1,8.69,14.12,22.26,9.77,1.63,0.54
"Entpd6",1368,12,21,25,12,3,1,8.77,15.35,18.27,8.77,2.19,0.73
"Ep300",7239,54,101,93,36,6,3,7.46,13.95,12.85,4.97,0.83,0.41
"Epas1",2625,29,48,57,27,2,2,11.05,18.29,21.71,10.29,0.76,0.76
"Epb41l1",3192,14,78,67,28,6,2,4.39,24.44,20.99,8.77,1.88,0.63
"Epb41l2",2967,16,66,63,26,5,3,5.39,22.24,21.23,8.76,1.69,1.01
"Epb41l3",2820,20,57,49,22,2,1,7.09,20.21,17.38,7.8,0.71,0.35
"Epc2",2427,25,28,44,19,0,1,10.3,11.54,18.13,7.83,0,0.41
"Epdr1",675,2,12,8,5,0,0,2.96,17.78,11.85,7.41,0,0
"Epha6",3393,35,66,45,19,1,3,10.32,19.45,13.26,5.6,0.29,0.88
"Epha7",2997,30,55,36,11,0,1,10.01,18.35,12.01,3.67,0,0.33
"Ephb6",3045,28,42,55,20,3,1,9.2,13.79,18.06,6.57,0.99,0.33
"Ephx4",1080,16,18,16,4,0,1,14.81,16.67,14.81,3.7,0,0.93
"Epm2a",993,13,19,15,8,0,0,13.09,19.13,15.11,8.06,0,0
"Epm2aip1",1821,25,28,37,16,2,1,13.73,15.38,20.32,8.79,1.1,0.55
"Epn1",1731,9,30,31,5,0,2,5.2,17.33,17.91,2.89,0,1.16
"Epn2",1923,22,21,36,11,2,0,11.44,10.92,18.72,5.72,1.04,0
"Eps15",2802,31,52,36,12,2,1,11.06,18.56,12.85,4.28,0.71,0.36
"Erbin",4353,44,52,56,24,2,2,10.11,11.95,12.86,5.51,0.46,0.46
"Erc2",3009,27,71,60,25,5,3,8.97,23.6,19.94,8.31,1.66,1
"Ergic1",873,7,10,21,14,2,2,8.02,11.45,24.05,16.04,2.29,2.29
"Ergic3",1185,9,17,28,12,3,1,7.59,14.35,23.63,10.13,2.53,0.84
"Erp29",789,4,15,12,8,4,2,5.07,19.01,15.21,10.14,5.07,2.53
"Esd",888,8,11,11,5,0,0,9.01,12.39,12.39,5.63,0,0
"Esrra",1269,9,25,21,6,0,2,7.09,19.7,16.55,4.73,0,1.58
"Ets2",1407,12,27,30,12,2,1,8.53,19.19,21.32,8.53,1.42,0.71
"Etv5",1587,13,26,23,10,1,1,8.19,16.38,14.49,6.3,0.63,0.63
"Evi5",2430,24,41,36,19,5,2,9.88,16.87,14.81,7.82,2.06,0.82
"Evi5l",2442,18,60,41,21,1,2,7.37,24.57,16.79,8.6,0.41,0.82
"Evl",1245,5,29,14,7,2,1,4.02,23.29,11.24,5.62,1.61,0.8
"Exd2",1953,18,41,30,12,3,1,9.22,20.99,15.36,6.14,1.54,0.51
"Exoc2",2775,31,36,42,19,3,1,11.17,12.97,15.14,6.85,1.08,0.36
"Exoc3",2268,24,42,40,24,3,1,10.58,18.52,17.64,10.58,1.32,0.44
"Exoc6",2415,21,35,40,23,2,2,8.7,14.49,16.56,9.52,0.83,0.83
"Exoc6b",2433,28,44,46,24,0,1,11.51,18.08,18.91,9.86,0,0.41
"Exoc7",2094,10,43,52,31,3,1,4.78,20.53,24.83,14.8,1.43,0.48
"Ext1",2241,20,36,40,25,4,1,8.92,16.06,17.85,11.16,1.78,0.45
"Extl1",2010,16,29,30,9,3,3,7.96,14.43,14.93,4.48,1.49,1.49
"Extl2",993,8,9,16,9,1,0,8.06,9.06,16.11,9.06,1.01,0
"Extl3",2760,24,33,55,26,2,0,8.7,11.96,19.93,9.42,0.72,0
"Ezh1",2253,22,30,34,17,0,3,9.76,13.32,15.09,7.55,0,1.33
"Fabp3",402,3,6,14,9,0,0,7.46,14.93,34.83,22.39,0,0
"Fabp5",408,5,9,8,5,0,0,12.25,22.06,19.61,12.25,0,0
"Fads1",1344,15,17,14,4,0,1,11.16,12.65,10.42,2.98,0,0.74
"Fads2",1335,17,19,20,6,0,0,12.73,14.23,14.98,4.49,0,0
"Faf1",1950,22,24,32,14,1,0,11.28,12.31,16.41,7.18,0.51,0
"Faim2",954,7,13,18,4,0,0,7.34,13.63,18.87,4.19,0,0
"Fam102b",1113,6,22,16,8,2,1,5.39,19.77,14.38,7.19,1.8,0.9
"Fam110b",1101,10,13,25,8,3,1,9.08,11.81,22.71,7.27,2.72,0.91
"Fam120a",3339,33,42,45,20,2,1,9.88,12.58,13.48,5.99,0.6,0.3
"Fam120b",2361,14,34,27,13,1,1,5.93,14.4,11.44,5.51,0.42,0.42
"Fam131a",1086,8,29,24,8,1,1,7.37,26.7,22.1,7.37,0.92,0.92
"Fam134a",1626,12,20,23,11,2,1,7.38,12.3,14.15,6.77,1.23,0.62
"Fam134c",1401,13,20,27,12,0,0,9.28,14.28,19.27,8.57,0,0
"Fam135a",4521,46,59,55,26,1,2,10.17,13.05,12.17,5.75,0.22,0.44
"Fam135b",4212,44,67,68,32,2,1,10.45,15.91,16.14,7.6,0.47,0.24
"Fam155a",1404,14,20,32,16,1,1,9.97,14.25,22.79,11.4,0.71,0.71
"Fam160a2",2970,24,46,27,12,3,3,8.08,15.49,9.09,4.04,1.01,1.01
"Fam169a",1998,20,35,24,10,2,0,10.01,17.52,12.01,5.01,1,0
"Fam171a1",2679,23,51,42,21,1,2,8.59,19.04,15.68,7.84,0.37,0.75
"Fam171a2",2469,13,20,43,23,2,0,5.27,8.1,17.42,9.32,0.81,0
"Fam171b",2466,21,39,36,19,0,1,8.52,15.82,14.6,7.7,0,0.41
"Fam173a",690,8,11,8,4,0,0,11.59,15.94,11.59,5.8,0,0
"Fam174a",573,2,7,11,6,0,1,3.49,12.22,19.2,10.47,0,1.75
"Fam174a.1",573,2,7,11,6,0,1,3.49,12.22,19.2,10.47,0,1.75
"Fam179b",5331,50,73,64,29,1,1,9.38,13.69,12.01,5.44,0.19,0.19
"Fam189a1",1548,10,14,21,6,0,0,6.46,9.04,13.57,3.88,0,0
"Fam19a2",408,3,8,2,0,0,0,7.35,19.61,4.9,0,0,0
"Fam19a5",378,2,5,11,6,0,0,5.29,13.23,29.1,15.87,0,0
"Fam20b",1230,15,18,27,17,2,1,12.2,14.63,21.95,13.82,1.63,0.81
"Fam20c",1740,17,29,43,20,2,1,9.77,16.67,24.71,11.49,1.15,0.57
"Fam212b",903,8,26,19,11,0,1,8.86,28.79,21.04,12.18,0,1.11
"Fam216a",756,4,13,14,9,1,1,5.29,17.2,18.52,11.9,1.32,1.32
"Fam217b",1164,8,20,20,5,0,1,6.87,17.18,17.18,4.3,0,0.86
"Fam219a",507,4,6,15,9,0,0,7.89,11.83,29.59,17.75,0,0
"Fam220a",783,5,11,10,5,0,1,6.39,14.05,12.77,6.39,0,1.28
"Fam234b",1977,17,33,39,22,3,1,8.6,16.69,19.73,11.13,1.52,0.51
"Fam32a",339,2,11,9,7,2,1,5.9,32.45,26.55,20.65,5.9,2.95
"Fam49a",972,11,16,15,7,1,0,11.32,16.46,15.43,7.2,1.03,0
"Fam53b",1269,5,25,31,9,2,1,3.94,19.7,24.43,7.09,1.58,0.79
"Fam65b",3237,27,56,60,29,2,1,8.34,17.3,18.54,8.96,0.62,0.31
"Fam69b",1296,13,19,21,3,2,0,10.03,14.66,16.2,2.31,1.54,0
"Fam76a",924,5,18,8,2,1,2,5.41,19.48,8.66,2.16,1.08,2.16
"Fam81a",1095,7,25,27,18,3,0,6.39,22.83,24.66,16.44,2.74,0
"Fam84a",879,7,20,18,8,2,1,7.96,22.75,20.48,9.1,2.28,1.14
"Fam8a1",1200,6,8,15,9,0,0,5,6.67,12.5,7.5,0,0
"Fam91a1",2514,28,33,35,14,1,1,11.14,13.13,13.92,5.57,0.4,0.4
"Farp1",3147,22,62,57,26,2,1,6.99,19.7,18.11,8.26,0.64,0.32
"Fat3",13656,119,250,248,135,12,2,8.71,18.31,18.16,9.89,0.88,0.15
"Fat4",14946,134,191,301,158,16,4,8.97,12.78,20.14,10.57,1.07,0.27
"Fau",402,0,8,5,2,1,0,0,19.9,12.44,4.98,2.49,0
"Fbf1",3522,20,92,58,20,4,3,5.68,26.12,16.47,5.68,1.14,0.85
"Fbxl14",1203,6,14,21,17,3,1,4.99,11.64,17.46,14.13,2.49,0.83
"Fbxl16",1440,16,19,20,7,1,0,11.11,13.19,13.89,4.86,0.69,0
"Fbxl19",2025,21,37,35,14,3,3,10.37,18.27,17.28,6.91,1.48,1.48
"Fbxl2",1272,16,21,19,9,0,0,12.58,16.51,14.94,7.08,0,0
"Fbxl3",1287,17,14,27,13,0,1,13.21,10.88,20.98,10.1,0,0.78
"Fbxl5",2073,24,35,36,20,2,0,11.58,16.88,17.37,9.65,0.96,0
"Fbxo10",2853,21,54,40,19,1,2,7.36,18.93,14.02,6.66,0.35,0.7
"Fbxo18",3129,25,62,57,30,4,1,7.99,19.81,18.22,9.59,1.28,0.32
"Fbxo2",894,13,34,14,8,1,2,14.54,38.03,15.66,8.95,1.12,2.24
"Fbxo21",1884,8,36,32,14,0,2,4.25,19.11,16.99,7.43,0,1.06
"Fbxo25",1098,13,27,22,9,1,3,11.84,24.59,20.04,8.2,0.91,2.73
"Fbxo28",1107,8,19,18,7,1,2,7.23,17.16,16.26,6.32,0.9,1.81
"Fbxo33",1689,18,16,25,15,1,0,10.66,9.47,14.8,8.88,0.59,0
"Fbxo34",2241,15,25,23,12,1,1,6.69,11.16,10.26,5.35,0.45,0.45
"Fbxo44",831,11,18,19,5,0,0,13.24,21.66,22.86,6.02,0,0
"Fbxo45",861,6,14,11,5,0,0,6.97,16.26,12.78,5.81,0,0
"Fbxo9",1314,13,23,21,10,2,1,9.89,17.5,15.98,7.61,1.52,0.76
"Fbxw11",1692,18,24,30,11,2,1,10.64,14.18,17.73,6.5,1.18,0.59
"Fbxw2",1365,23,28,33,12,1,0,16.85,20.51,24.18,8.79,0.73,0
"Fbxw5",1722,14,24,30,12,0,0,8.13,13.94,17.42,6.97,0,0
"Fdft1",1251,12,25,23,9,3,2,9.59,19.98,18.39,7.19,2.4,1.6
"Fem1a",1965,13,43,33,16,2,1,6.62,21.88,16.79,8.14,1.02,0.51
"Fez1",1179,7,32,23,10,0,2,5.94,27.14,19.51,8.48,0,1.7
"Fez2",1128,6,24,23,14,0,1,5.32,21.28,20.39,12.41,0,0.89
"Fgf12",732,1,10,10,4,1,0,1.37,13.66,13.66,5.46,1.37,0
"Fgf13",738,6,8,10,6,2,0,8.13,10.84,13.55,8.13,2.71,0
"Fgf14",759,6,12,6,3,1,0,7.91,15.81,7.91,3.95,1.32,0
"Fgfr1",2502,16,49,53,21,4,1,6.39,19.58,21.18,8.39,1.6,0.4
"Fgfr1op2",762,9,14,13,6,0,1,11.81,18.37,17.06,7.87,0,1.31
"Fgfr2",2523,23,46,41,19,2,0,9.12,18.23,16.25,7.53,0.79,0
"Fgfr3",2409,17,41,41,21,5,2,7.06,17.02,17.02,8.72,2.08,0.83
"Fjx1",1353,10,23,28,13,1,1,7.39,17,20.69,9.61,0.74,0.74
"Fkbp15",3651,31,77,68,31,2,1,8.49,21.09,18.63,8.49,0.55,0.27
"Fkbp1a",486,5,13,10,3,1,1,10.29,26.75,20.58,6.17,2.06,2.06
"Fkbp4",1377,9,26,21,6,0,2,6.54,18.88,15.25,4.36,0,1.45
"Fkbp9",1713,16,33,32,14,3,0,9.34,19.26,18.68,8.17,1.75,0
"Fkrp",1485,9,23,27,10,1,0,6.06,15.49,18.18,6.73,0.67,0
"Flcn",1740,9,29,26,14,1,1,5.17,16.67,14.94,8.05,0.57,0.57
"Flot1",1287,9,25,15,8,0,0,6.99,19.43,11.66,6.22,0,0
"Flrt1",2025,12,29,45,21,1,2,5.93,14.32,22.22,10.37,0.49,0.99
"Flrt2",1983,21,20,26,13,1,0,10.59,10.09,13.11,6.56,0.5,0
"Flywch1",2022,23,40,39,16,2,3,11.37,19.78,19.29,7.91,0.99,1.48
"Fmn2",4737,32,95,80,33,5,1,6.76,20.05,16.89,6.97,1.06,0.21
"Fmnl2",3276,30,64,44,27,2,2,9.16,19.54,13.43,8.24,0.61,0.61
"Fmr1",1896,13,44,21,13,2,1,6.86,23.21,11.08,6.86,1.05,0.53
"Fndc3a",3597,18,44,52,23,1,0,5,12.23,14.46,6.39,0.28,0
"Fndc4",696,2,7,15,10,2,1,2.87,10.06,21.55,14.37,2.87,1.44
"Fndc5",630,0,11,8,4,0,1,0,17.46,12.7,6.35,0,1.59
"Fnta",1134,6,23,21,15,0,2,5.29,20.28,18.52,13.23,0,1.76
"Foxk2",1956,8,17,25,11,2,1,4.09,8.69,12.78,5.62,1.02,0.51
"Frmpd4",3963,31,64,80,38,0,2,7.82,16.15,20.19,9.59,0,0.5
"Fry",9063,79,140,163,73,6,2,8.72,15.45,17.99,8.05,0.66,0.22
"Fscn1",1482,8,19,41,19,1,0,5.4,12.82,27.67,12.82,0.67,0
"Ftl1",552,4,11,7,1,0,1,7.25,19.93,12.68,1.81,0,1.81
"Fut8",1728,21,31,28,14,0,1,12.15,17.94,16.2,8.1,0,0.58
"Fxr2",2025,14,37,41,18,5,1,6.91,18.27,20.25,8.89,2.47,0.49
"Fxyd6",285,2,5,4,2,0,0,7.02,17.54,14.04,7.02,0,0
"Fyn",1614,18,33,31,14,3,0,11.15,20.45,19.21,8.67,1.86,0
"Fyttd1",954,10,19,18,10,3,1,10.48,19.92,18.87,10.48,3.14,1.05
"G3bp2",1449,11,33,16,8,1,0,7.59,22.77,11.04,5.52,0.69,0
"Gaa",2862,25,47,54,25,1,1,8.74,16.42,18.87,8.74,0.35,0.35
"Gabarap",354,2,5,4,1,0,0,5.65,14.12,11.3,2.82,0,0
"Gabarapl1",354,2,12,7,2,0,2,5.65,33.9,19.77,5.65,0,5.65
"Gabarapl2",354,3,13,8,6,2,1,8.47,36.72,22.6,16.95,5.65,2.82
"Gabbr1",2883,21,52,54,19,1,2,7.28,18.04,18.73,6.59,0.35,0.69
"Gabra1",1368,17,21,36,12,0,0,12.43,15.35,26.32,8.77,0,0
"Gabra3",1602,24,23,34,13,1,1,14.98,14.36,21.22,8.11,0.62,0.62
"Gabra4",1737,13,29,29,16,0,0,7.48,16.7,16.7,9.21,0,0
"Gabrb1",1425,16,25,33,15,4,0,11.23,17.54,23.16,10.53,2.81,0
"Gabrb3",1488,14,24,29,21,2,1,9.41,16.13,19.49,14.11,1.34,0.67
"Gabrd",1350,9,30,23,12,2,1,6.67,22.22,17.04,8.89,1.48,0.74
"Gad2",1758,9,26,24,13,3,0,5.12,14.79,13.65,7.39,1.71,0
"Gak",3918,33,68,54,23,2,3,8.42,17.36,13.78,5.87,0.51,0.77
"Galnt1",1680,16,36,25,16,3,4,9.52,21.43,14.88,9.52,1.79,2.38
"Galnt11",1827,13,35,37,16,0,1,7.12,19.16,20.25,8.76,0,0.55
"Galnt16",1677,16,43,33,14,2,1,9.54,25.64,19.68,8.35,1.19,0.6
"Gap43",684,3,18,10,5,1,1,4.39,26.32,14.62,7.31,1.46,1.46
"Garnl3",3117,23,59,46,24,4,3,7.38,18.93,14.76,7.7,1.28,0.96
"Gas6",2025,16,35,34,19,0,1,7.9,17.28,16.79,9.38,0,0.49
"Gatad1",801,4,10,10,3,0,0,4.99,12.48,12.48,3.75,0,0
"Gbf1",5586,39,83,87,33,2,2,6.98,14.86,15.57,5.91,0.36,0.36
"Gclc",1914,14,44,35,14,1,2,7.31,22.99,18.29,7.31,0.52,1.04
"Gda",1365,12,19,18,7,0,1,8.79,13.92,13.19,5.13,0,0.73
"Gde1",996,8,18,17,9,0,1,8.03,18.07,17.07,9.04,0,1
"Gdi1",1344,12,17,19,6,1,1,8.93,12.65,14.14,4.46,0.74,0.74
"Gdi2",1338,14,23,19,7,1,1,10.46,17.19,14.2,5.23,0.75,0.75
"Gdpd5",1839,16,19,25,11,0,0,8.7,10.33,13.59,5.98,0,0
"Get4",984,6,17,13,7,1,0,6.1,17.28,13.21,7.11,1.02,0
"Gfap",1293,9,42,23,11,1,1,6.96,32.48,17.79,8.51,0.77,0.77
"Gfra2",1395,14,15,27,10,1,0,10.04,10.75,19.35,7.17,0.72,0
"Ggt7",1989,19,31,34,13,0,1,9.55,15.59,17.09,6.54,0,0.5
"Gid4",654,4,6,9,6,0,1,6.12,9.17,13.76,9.17,0,1.53
"Gipc1",1002,7,20,14,7,0,1,6.99,19.96,13.97,6.99,0,1
"Git1",2313,14,24,44,24,0,1,6.05,10.38,19.02,10.38,0,0.43
"Glce",1857,17,20,29,12,3,3,9.15,10.77,15.62,6.46,1.62,1.62
"Glo1",555,9,10,15,6,1,0,16.22,18.02,27.03,10.81,1.8,0
"Glrb",1491,17,21,23,7,1,2,11.4,14.08,15.43,4.69,0.67,1.34
"Glrx3",1125,8,18,11,5,1,1,7.11,16,9.78,4.44,0.89,0.89
"Gltscr1l",3225,14,32,60,27,5,3,4.34,9.92,18.6,8.37,1.55,0.93
"Gltscr2",1455,8,28,26,14,2,1,5.5,19.24,17.87,9.62,1.37,0.69
"Glyr1",1659,17,31,29,14,3,1,10.25,18.69,17.48,8.44,1.81,0.6
"Gm20594",114,1,1,3,1,0,0,8.77,8.77,26.32,8.77,0,0
"Gm21685",1842,16,26,41,18,3,1,8.69,14.12,22.26,9.77,1.63,0.54
"Gna11",1080,9,22,23,14,3,1,8.33,20.37,21.3,12.96,2.78,0.93
"Gna12",1140,6,19,25,16,3,0,5.26,16.67,21.93,14.04,2.63,0
"Gna13",1134,9,14,24,11,1,0,7.94,12.35,21.16,9.7,0.88,0
"Gnai1",1065,9,14,21,8,1,2,8.45,13.15,19.72,7.51,0.94,1.88
"Gnai2",1068,9,16,21,9,2,0,8.43,14.98,19.66,8.43,1.87,0
"Gnal",1347,12,22,25,13,1,0,8.91,16.33,18.56,9.65,0.74,0
"Gnao1",1065,9,20,23,16,1,1,8.45,18.78,21.6,15.02,0.94,0.94
"Gnao1.1",1065,11,16,24,14,1,1,10.33,15.02,22.54,13.15,0.94,0.94
"Gnaq",1080,5,20,24,15,3,0,4.63,18.52,22.22,13.89,2.78,0
"Gnas",3402,22,53,60,23,3,1,6.47,15.58,17.64,6.76,0.88,0.29
"Gnaz",1068,5,19,25,11,0,0,4.68,17.79,23.41,10.3,0,0
"Gnb1",1023,12,13,29,16,0,0,11.73,12.71,28.35,15.64,0,0
"Gnb2",1149,9,13,31,21,2,0,7.83,11.31,26.98,18.28,1.74,0
"Gnb4",1023,11,13,31,17,0,0,10.75,12.71,30.3,16.62,0,0
"Gnb5",1188,3,16,22,14,3,1,2.53,13.47,18.52,11.78,2.53,0.84
"Gng2",216,2,4,4,1,1,1,9.26,18.52,18.52,4.63,4.63,4.63
"Gng7",210,1,1,2,1,0,0,4.76,4.76,9.52,4.76,0,0
"Gnl1",1824,18,47,31,15,1,4,9.87,25.77,17,8.22,0.55,2.19
"Gnl3l",1734,15,36,31,8,1,2,8.65,20.76,17.88,4.61,0.58,1.15
"Gnpat",2037,25,38,27,12,1,2,12.27,18.65,13.25,5.89,0.49,0.98
